날짜,평균기온,최고기온,최저기온,강수량(mm),신적설(cm),평균풍속(m/s),평균습도(%),운량(1/10),일조시간(Hr),불쾌지수,날씨
2025-01-01,2.6,8.9,-2.5,0.0,0.0,2.2,64,2.6,5.6,40.9,구름조금
2025-01-02,0.5,6.0,-2.9,0.0,0.0,2.1,49,0.8,9.0,39.94,맑음
2025-01-03,-1.1,3.2,-5.1,0.0,0.0,2.3,52,3.1,7.7,37.41,구름조금/눈
2025-01-04,-0.1,5.7,-5.4,0.0,0.0,1.7,50,1.4,7.9,39.02,맑음
2025-01-05,1.2,2.5,-0.7,6.7,6.4,2.4,85,9.4,0.0,36.13,흐림/눈/안개
2025-01-06,1.0,3.4,-3.0,3.0,0.0,2.9,76,6.2,2.3,36.99,구름많음/비
2025-01-07,-2.6,1.5,-5.7,0.1,0.4,2.8,54,2.0,7.0,35.08,맑음/눈/비
2025-01-08,-3.4,0.2,-6.1,0.0,0.0,2.7,55,3.6,4.9,33.83,구름조금/눈
2025-01-09,-9.7,-6.1,-11.6,0.0,0.0,4.0,38,0.1,8.5,29.36,맑음/눈
2025-01-10,-7.3,-1.7,-12.2,0.0,0.0,1.6,48,1.5,9.2,30.05,맑음
2025-01-11,-5.1,0.4,-9.5,0.0,0.0,1.7,57,0.0,9.1,31.14,맑음
2025-01-12,-3.4,2.5,-8.2,0.0,0.0,1.8,60,0.8,7.7,32.95,맑음
2025-01-13,-0.4,4.1,-5.6,1.3,0.1,1.9,77,6.1,2.2,34.66,구름많음/눈/안개/진눈개비
2025-01-14,2.3,5.2,-1.7,0.1,0.0,2.3,72,5.0,2.3,39.51,구름조금/안개/진눈개비
2025-01-15,-3.5,-0.5,-5.3,0.0,0.0,2.8,41,1.0,9.2,36.18,맑음
2025-01-16,-0.5,2.8,-4.9,0.0,0.0,2.0,65,6.8,0.2,36.28,구름많음
2025-01-17,-0.5,5.6,-4.9,0.0,0.0,1.8,62,0.0,9.0,36.72,맑음
2025-01-18,1.0,7.5,-4.0,0.0,0.0,1.6,54,2.2,7.9,39.92,맑음
2025-01-19,3.8,9.0,-1.2,0.0,0.0,1.9,65,7.4,3.7,42.53,구름많음
2025-01-20,3.9,7.5,0.9,0.0,0.0,1.6,73,4.8,3.8,41.84,구름조금
2025-01-21,2.4,6.3,-1.0,0.0,0.0,1.5,80,2.2,6.4,38.7,맑음
2025-01-22,3.6,7.7,0.5,0.0,0.0,1.9,70,3.4,5.5,41.7,구름조금
2025-01-23,1.9,7.7,-2.4,0.0,0.0,1.7,54,0.0,9.3,41.13,맑음
2025-01-24,3.1,10.6,-2.7,0.0,0.0,1.5,46,0.0,9.4,43.64,맑음
2025-01-25,5.2,11.4,1.2,0.0,0.0,3.2,53,1.1,7.7,45.66,맑음
2025-01-26,4.6,7.5,1.8,0.0,0.0,2.9,51,8.0,1.9,45.06,구름많음
2025-01-27,0.2,5.1,-2.7,5.6,2.6,3.4,78,9.2,1.2,35.46,흐림/눈
2025-01-28,-3.9,-2.5,-5.3,0.1,0.4,4.1,71,8.4,0.6,30.25,구름많음/눈
2025-01-29,-4.6,-1.3,-6.4,0.2,1.0,3.1,66,4.2,6.7,30.13,구름조금/눈
2025-01-30,-3.8,-1.0,-7.5,0.0,0.0,1.6,47,6.6,2.7,34.73,구름많음
2025-01-31,-0.8,0.7,-2.6,2.4,2.9,2.0,80,9.4,0.0,33.58,흐림/눈
2025-02-01,1.6,7.9,-2.0,0.0,0.0,1.6,74,4.2,7.3,38.19,구름조금
2025-02-02,1.5,6.8,-2.5,0.0,0.0,2.1,67,3.5,7.8,38.93,구름조금
2025-02-03,-4.1,0.6,-8.2,0.0,0.0,4.3,49,0.0,9.6,33.98,맑음
2025-02-04,-9.0,-5.3,-11.5,0.0,0.0,3.8,51,0.0,9.7,27.17,맑음
2025-02-05,-8.7,-3.7,-11.8,0.0,0.0,3.4,49,2.0,6.8,28.03,맑음
2025-02-06,-5.6,-0.2,-11.5,2.3,3.3,1.6,60,3.1,5.9,29.86,구름조금/눈
2025-02-07,-8.0,-4.7,-10.7,0.4,0.7,3.9,60,3.5,7.6,26.49,구름조금/눈
2025-02-08,-7.9,-3.4,-11.5,0.0,0.0,2.7,55,0.0,9.6,27.73,맑음
2025-02-09,-4.7,1.7,-9.6,0.0,0.0,2.2,64,0.2,9.4,30.36,맑음
2025-02-10,-2.6,2.6,-7.5,0.0,0.0,2.3,61,1.2,7.2,33.9,맑음
2025-02-11,0.5,7.0,-5.7,0.0,0.0,2.1,60,2.1,9.4,38.42,맑음
2025-02-12,0.5,2.5,-2.9,2.5,2.1,2.6,76,7.5,0.0,36.21,구름많음/눈
2025-02-13,0.2,6.1,-5.8,0.0,0.0,2.2,53,0.0,9.6,38.99,맑음
2025-02-14,3.7,10.1,-1.6,0.0,0.0,2.0,67,1.5,9.5,42.17,맑음
2025-02-15,4.1,7.8,0.4,0.0,0.0,1.7,77,5.4,0.9,41.74,구름조금
2025-02-16,4.3,9.7,0.4,0.0,0.0,2.5,76,5.0,3.4,42.15,구름조금
2025-02-17,-0.3,3.5,-3.4,0.0,0.0,3.6,39,0.2,9.9,40.36,맑음
2025-02-18,-2.3,2.6,-5.2,0.0,0.0,3.3,40,0.0,9.9,37.81,맑음
2025-02-19,-3.0,1.2,-5.8,0.0,0.0,3.0,45,0.0,10.0,36.1,맑음
2025-02-20,-2.9,1.9,-6.5,0.0,0.0,2.7,43,0.0,10.0,36.57,맑음
2025-02-21,-2.5,2.6,-6.4,0.0,0.0,2.8,45,0.2,10.1,36.73,맑음
2025-02-22,-2.3,2.7,-5.6,0.0,0.0,2.5,49,0.0,10.2,36.31,맑음
2025-02-23,-3.6,0.5,-6.5,0.0,0.0,3.0,45,0.2,10.1,35.35,맑음
2025-02-24,-1.3,4.7,-6.3,0.0,0.0,2.3,50,0.0,10.3,37.45,맑음
2025-02-25,2.1,6.1,-3.1,0.0,0.0,2.9,73,4.8,5.4,39.08,구름조금
2025-02-26,3.7,9.1,0.7,0.0,0.0,2.5,49,1.4,9.6,44.08,맑음
2025-02-27,5.8,14.2,-2.0,0.0,0.0,1.8,29,2.0,10.0,48.52,맑음
2025-02-28,7.8,13.7,3.7,0.0,0.0,1.4,52,3.9,3.4,49.2,구름조금
2025-03-01,8.5,13.0,3.4,0.6,0.0,2.0,69,7.4,1.7,49.12,구름많음/비
2025-03-02,8.3,15.6,2.2,11.8,0.0,3.8,68,9.8,0.4,48.89,흐림/비
2025-03-03,3.1,7.1,1.0,10.4,1.1,6.2,64,7.5,6.6,41.62,구름많음/눈
2025-03-04,2.5,3.4,0.9,4.0,3.4,4.7,68,9.2,0.6,40.28,흐림/눈
2025-03-05,4.8,9.2,2.3,0.0,0.0,2.2,63,6.6,1.6,44.17,구름많음
2025-03-06,4.8,10.4,-0.4,0.0,0.0,2.4,55,0.4,10.5,44.94,맑음
2025-03-07,5.3,11.1,0.0,0.0,0.0,1.9,49,5.5,8.6,46.16,구름많음
2025-03-08,5.8,11.2,2.8,0.0,0.0,2.2,55,3.5,9.0,46.29,구름조금
2025-03-09,6.9,13.5,1.2,0.0,0.0,1.7,67,0.1,10.4,46.88,맑음
2025-03-10,8.0,14.9,2.4,0.0,0.0,2.2,60,0.8,10.5,48.95,맑음
2025-03-11,9.4,16.6,2.9,0.0,0.0,1.7,58,2.6,10.2,51.02,구름조금
2025-03-12,8.5,11.8,6.7,0.0,0.0,2.2,72,8.4,0.1,48.95,구름많음
2025-03-13,8.9,15.0,3.2,0.0,0.0,2.4,55,5.2,10.5,50.49,구름조금
2025-03-14,12.4,20.1,5.0,0.0,0.0,1.9,31,3.0,9.7,55.72,구름조금
2025-03-15,12.6,17.2,10.0,0.0,0.0,2.8,39,7.9,6.3,55.79,구름많음
2025-03-16,4.9,10.1,1.3,0.8,0.0,3.6,56,6.6,3.9,44.98,구름많음/비
2025-03-17,2.5,6.8,-1.3,0.4,0.3,2.8,46,5.1,9.5,42.89,구름조금/눈
2025-03-18,2.1,5.6,0.3,9.9,8.7,2.9,71,7.9,3.8,39.32,구름많음/눈
2025-03-19,2.4,7.3,-1.9,0.0,0.0,2.3,50,1.0,11.3,42.28,맑음
2025-03-20,8.2,15.0,2.2,0.0,0.0,2.7,63,3.3,7.3,49.05,구름조금/안개
2025-03-21,11.6,18.7,7.9,0.0,0.0,2.9,61,2.4,9.5,53.98,맑음/안개
2025-03-22,12.8,19.9,6.1,0.0,0.0,2.7,54,0.0,11.1,55.79,맑음/안개
2025-03-23,15.2,24.0,7.1,0.0,0.0,1.9,49,4.0,8.9,58.98,구름조금/안개
2025-03-24,15.5,21.3,11.7,0.0,0.0,3.0,56,6.1,7.6,59.44,구름많음/비/안개
2025-03-25,12.7,21.4,8.4,0.0,0.0,3.2,64,5.1,3.9,55.48,구름조금
2025-03-26,15.5,23.9,6.0,0.0,0.0,2.2,46,3.4,10.0,59.34,구름조금/황사
2025-03-27,13.7,18.6,7.1,0.3,0.0,3.2,65,8.9,1.9,56.92,흐림/비/황사
2025-03-28,6.5,11.8,3.1,0.0,0.0,3.7,42,2.9,7.8,48.26,구름조금
2025-03-29,3.3,6.7,0.6,0.0,0.0,3.6,41,2.9,7.3,44.45,구름조금/눈/진눈개비
2025-03-30,3.3,7.6,-1.8,0.0,0.0,2.8,51,2.9,7.1,43.35,구름조금/눈
2025-03-31,7.7,14.1,1.2,0.0,0.0,2.2,51,1.6,10.8,49.13,맑음/안개
2025-04-01,10.1,17.0,3.9,0.0,0.0,1.8,53,0.6,10.2,52.2,맑음
2025-04-02,8.9,14.4,5.2,0.0,0.0,2.5,55,6.2,4.6,50.49,구름많음
2025-04-03,9.8,16.9,3.6,0.0,0.0,2.4,59,0.1,11.6,51.53,맑음
2025-04-04,10.6,16.4,6.0,0.0,0.0,2.1,55,2.1,10.4,52.79,맑음
2025-04-05,8.0,9.5,7.5,22.8,0.0,1.9,86,10.0,0.0,47.29,흐림/비
2025-04-06,10.3,15.7,6.9,0.0,0.0,2.7,67,3.1,9.6,51.89,구름조금
2025-04-07,13.4,20.1,5.5,0.0,0.0,2.7,55,0.9,11.3,56.59,맑음
2025-04-08,13.8,18.9,10.7,0.0,0.0,3.1,55,3.5,9.2,57.13,구름조금
2025-04-09,12.7,18.0,8.4,0.8,0.0,2.0,52,9.0,2.2,55.69,흐림/비
2025-04-10,13.2,19.1,8.8,0.0,0.0,2.0,61,2.0,9.7,56.24,맑음
2025-04-11,16.2,24.2,8.1,0.0,0.0,2.1,52,1.9,11.8,60.33,맑음
2025-04-12,12.9,22.5,1.4,15.4,0.2,3.2,67,9.5,1.5,55.72,흐림/눈
2025-04-13,5.5,8.2,1.1,4.2,0.4,4.4,71,7.0,3.7,44.47,구름많음/눈
2025-04-14,4.4,6.0,2.6,7.4,0.0,2.5,87,7.2,0.3,41.21,구름많음/비
2025-04-15,8.2,14.0,2.3,0.0,0.0,2.8,70,2.1,12.1,48.61,맑음
2025-04-16,14.6,21.9,6.4,0.0,0.0,2.4,58,5.5,9.7,58.22,구름많음
2025-04-17,19.7,24.7,15.8,0.0,0.0,2.7,64,6.1,2.9,65.59,구름많음
2025-04-18,18.6,23.7,15.4,0.0,0.0,2.5,68,6.0,5.0,64.16,구름많음
2025-04-19,15.3,20.0,12.2,9.2,0.0,2.9,89,8.6,0.0,59.45,흐림/비
2025-04-20,16.7,24.1,9.5,0.0,0.0,1.7,70,2.1,11.6,61.39,맑음
2025-04-21,20.7,27.1,14.2,0.0,0.0,2.2,65,5.0,7.7,67.09,구름조금
2025-04-22,17.8,20.4,14.2,34.8,0.0,1.5,88,7.4,0.0,63.64,구름많음/비
2025-04-23,16.8,22.9,10.9,0.0,0.0,2.5,62,3.5,12.5,61.35,구름조금
2025-04-24,14.7,19.6,10.7,0.0,0.0,3.1,52,0.9,12.2,58.34,맑음
2025-04-25,12.5,17.8,7.7,0.0,0.0,3.0,38,0.0,12.5,55.69,맑음
2025-04-26,13.8,20.0,7.2,0.0,0.0,2.8,53,0.0,12.0,57.14,맑음
2025-04-27,14.9,19.1,10.7,0.0,0.0,2.8,46,6.5,6.3,58.58,구름많음
2025-04-28,15.1,20.2,10.3,0.0,0.0,2.9,46,1.0,12.5,58.83,맑음
2025-04-29,14.8,21.0,8.2,0.0,0.0,2.2,34,0.0,12.8,58.41,맑음
2025-04-30,18.4,25.8,10.0,0.0,0.0,2.7,36,2.4,12.0,62.61,맑음
2025-05-01,14.7,17.6,11.3,21.1,0.0,2.0,70,7.2,0.0,58.38,구름많음/비/안개/이슬비/천둥번개
2025-05-02,13.4,18.5,8.2,0.0,0.0,2.9,59,5.6,9.1,56.54,구름많음/비
2025-05-03,11.2,14.0,9.5,7.3,0.0,2.3,81,6.9,1.2,52.77,구름많음/비
2025-05-04,13.7,19.9,8.2,0.0,0.0,2.9,61,1.1,12.8,56.95,맑음
2025-05-05,12.1,15.0,9.3,0.0,0.0,2.5,65,8.0,0.3,54.59,구름많음
2025-05-06,14.4,19.5,8.5,0.0,0.0,2.2,58,3.8,8.5,57.94,구름조금
2025-05-07,14.9,21.1,9.9,0.0,0.0,2.2,62,2.0,12.3,58.65,맑음
2025-05-08,17.4,24.9,9.7,0.0,0.0,1.9,54,5.2,11.2,61.97,구름조금/황사
2025-05-09,15.1,17.4,14.1,17.6,0.0,3.0,82,10.0,0.0,59.06,흐림/비
2025-05-10,12.3,15.3,11.6,14.1,0.0,3.5,96,9.8,0.0,54.22,흐림/비/안개/이슬비
2025-05-11,14.7,20.2,11.4,0.0,0.0,1.9,77,5.5,4.7,58.4,구름많음/안개/이슬비
2025-05-12,17.0,23.6,9.8,0.0,0.0,2.2,63,0.0,12.7,61.66,맑음/안개
2025-05-13,19.9,25.8,13.3,0.0,0.0,2.8,47,4.8,9.0,64.96,구름조금
2025-05-14,21.0,26.7,14.1,0.0,0.0,2.4,53,3.5,11.7,66.75,구름조금/비
2025-05-15,19.5,22.2,16.8,1.1,0.0,2.2,81,8.9,0.8,66.15,흐림/비
2025-05-16,19.4,22.0,17.8,51.3,0.0,1.8,93,9.8,0.0,66.58,흐림/비
2025-05-17,18.3,24.3,14.7,2.2,0.0,2.7,86,6.4,6.0,64.41,구름많음/비/안개/이슬비
2025-05-18,15.6,21.0,11.4,0.0,0.0,2.7,59,3.0,10.5,59.61,구름조금
2025-05-19,16.1,20.9,10.5,1.6,0.0,2.8,70,7.9,0.9,60.49,구름많음/이슬비
2025-05-20,22.2,27.3,17.4,1.0,0.0,2.5,86,7.5,3.0,70.89,구름많음/비/안개/이슬비
2025-05-21,25.5,30.8,22.3,0.0,0.0,2.0,76,6.5,7.0,75.27,구름많음
2025-05-22,23.9,28.5,20.0,0.8,0.0,2.2,68,5.6,6.1,72.02,구름많음/비/이슬비
2025-05-23,19.4,22.2,15.4,1.2,0.0,2.8,54,9.4,0.0,64.66,흐림/비
2025-05-24,15.6,19.3,13.0,4.3,0.0,3.2,69,8.1,0.3,59.73,구름많음/비
2025-05-25,17.4,22.6,11.7,0.0,0.0,2.2,61,0.0,13.1,62.18,맑음
2025-05-26,19.7,26.2,13.0,0.0,0.0,1.7,59,4.9,12.3,65.33,구름조금/안개
2025-05-27,20.8,27.0,14.7,0.0,0.0,1.9,57,1.0,12.3,66.73,맑음/안개
2025-05-28,20.8,26.9,16.3,0.0,0.0,1.9,62,3.4,8.4,67.05,구름조금/비/안개
2025-05-29,21.2,27.3,15.3,0.0,0.0,2.4,58,2.0,11.7,67.35,맑음/천둥번개
2025-05-30,22.2,28.3,16.7,0.0,0.0,1.8,55,0.5,12.1,68.5,맑음
2025-05-31,21.5,27.0,16.4,0.0,0.0,2.0,55,6.1,7.3,67.56,구름많음/안개
2025-06-01,22.6,29.3,17.0,0.0,0.0,2.1,58,3.5,10.9,69.29,구름조금/안개
2025-06-02,21.0,23.1,19.2,0.0,0.0,1.4,64,9.8,0.0,67.46,흐림/비/안개
2025-06-03,20.9,25.3,17.0,0.0,0.0,2.8,57,1.6,11.9,66.87,맑음/안개
2025-06-04,20.4,25.3,15.2,0.0,0.0,3.5,55,0.4,12.1,66.07,맑음
2025-06-05,21.7,27.1,15.6,0.0,0.0,2.3,50,3.1,12.5,67.47,구름조금
2025-06-06,24.1,30.0,17.7,0.0,0.0,3.3,43,3.5,12.0,69.93,구름조금
2025-06-07,23.7,28.2,19.8,0.1,0.0,2.6,61,6.8,4.6,71.09,구름많음/비
2025-06-08,25.1,30.4,21.4,0.6,0.0,1.8,69,6.8,7.4,73.91,구름많음/비
2025-06-09,24.2,30.2,20.6,0.0,0.0,2.6,67,6.2,9.6,72.37,구름많음/비/안개
2025-06-10,21.7,25.3,18.8,0.0,0.0,2.6,72,7.5,4.1,69.05,구름많음/비
2025-06-11,22.7,28.5,15.9,0.0,0.0,2.4,55,2.2,13.5,69.18,맑음
2025-06-12,25.5,33.1,17.9,0.0,0.0,1.9,50,4.4,12.4,72.43,구름조금
2025-06-13,24.0,29.4,20.1,1.5,0.0,1.9,61,8.8,3.8,71.51,흐림/비
2025-06-14,25.6,32.1,20.3,0.0,0.0,1.9,66,4.8,5.9,74.33,구름조금
2025-06-15,26.3,33.2,21.7,11.8,0.0,2.6,70,7.9,7.8,75.82,구름많음/비
2025-06-16,23.0,25.1,21.8,20.0,0.0,2.8,88,9.2,0.1,72.38,흐림/비/안개/이슬비
2025-06-17,24.8,29.6,21.1,0.0,0.0,2.4,73,3.8,8.6,73.87,구름조금
2025-06-18,25.5,30.9,21.2,0.0,0.0,2.0,65,3.0,10.3,74.07,구름조금/안개
2025-06-19,28.1,34.2,21.1,0.8,0.0,2.1,58,5.8,8.8,76.9,구름많음/비
2025-06-20,24.1,28.3,22.2,51.1,0.0,4.0,93,10.0,0.0,74.71,흐림/비/천둥번개
2025-06-21,22.0,24.2,20.5,0.2,0.0,2.2,88,9.8,0.0,70.7,흐림/비/안개/이슬비
2025-06-22,23.3,28.6,18.1,0.0,0.0,2.2,69,0.2,13.4,71.22,맑음/안개
2025-06-23,26.1,31.7,19.4,0.0,0.0,1.9,65,1.2,12.8,74.94,맑음
2025-06-24,25.0,28.0,20.5,2.3,0.0,2.6,63,8.9,0.2,73.13,흐림/비
2025-06-25,20.9,22.1,19.5,8.0,0.0,2.5,89,10.0,0.0,68.92,흐림/비/안개
2025-06-26,22.2,24.2,19.9,1.1,0.0,1.6,85,8.4,0.1,70.81,구름많음/비/안개/이슬비
2025-06-27,25.0,29.3,21.1,0.0,0.0,1.3,78,8.6,3.1,74.7,흐림/비/안개
2025-06-28,26.2,28.1,24.5,0.6,0.0,1.3,85,9.2,0.0,77.41,흐림/비/안개
2025-06-29,27.1,30.2,24.9,0.0,0.0,2.4,77,6.1,2.5,77.9,구름많음/비/안개/이슬비
2025-06-30,28.2,31.2,25.6,0.0,0.0,2.4,75,7.8,2.8,79.36,구름많음
2025-07-01,28.6,31.8,26.2,0.9,0.0,3.0,79,7.0,3.8,80.54,구름많음/비
2025-07-02,28.6,30.9,26.8,0.0,0.0,3.1,76,8.0,2.3,80.12,구름많음/비
