날짜,평균기온,최고기온,최저기온,강수량(mm),신적설(cm),평균풍속(m/s),평균습도(%),운량(1/10),일조시간(Hr),불쾌지수,날씨
2025-07-03,28.2,32.0,26.5,0.0,0.0,2.8,76,7.5,2.7,79.49,구름많음/비
2025-07-04,27.2,30.0,25.7,0.0,0.0,3.2,77,8.8,0.8,78.06,흐림/비
2025-07-05,28.4,32.3,26.0,0.0,0.0,2.7,73,8.1,3.0,79.39,구름많음
2025-07-06,29.1,32.8,26.3,0.0,0.0,2.4,74,8.8,1.7,80.61,흐림
2025-07-07,29.1,33.2,26.7,0.0,0.0,1.9,79,5.8,2.5,81.33,구름많음/안개
2025-07-08,31.3,37.8,26.9,11.8,0.0,2.0,73,4.2,8.4,83.83,구름조금/비/소나기/안개/천둥번개
2025-07-09,31.9,36.0,27.4,0.0,0.0,2.1,61,3.4,8.0,82.68,구름조금
2025-07-10,31.4,36.2,27.3,0.0,0.0,3.0,47,0.4,13.3,79.62,맑음
2025-07-11,30.1,36.1,24.6,0.0,0.0,3.4,47,0.1,13.5,77.97,맑음
2025-07-12,30.3,36.5,24.4,0.0,0.0,2.4,48,2.6,13.2,78.38,구름조금
2025-07-13,27.7,31.0,25.6,0.0,0.0,1.5,67,9.0,1.7,77.53,흐림/비
2025-07-14,24.2,28.1,21.7,13.6,0.0,2.1,78,8.4,0.5,73.44,구름많음/비
2025-07-15,23.6,25.9,21.5,4.0,0.0,2.4,84,9.2,0.6,73.03,흐림/비/소나기
2025-07-16,23.3,24.8,22.2,73.1,0.0,2.2,90,9.6,0.0,73.06,흐림/비/천둥번개
2025-07-17,23.3,24.4,22.0,75.5,0.0,2.1,94,10.0,0.0,73.41,흐림/비/천둥번개
2025-07-18,24.7,27.2,22.9,16.1,0.0,1.7,90,9.5,0.3,75.44,흐림/비
2025-07-19,23.9,25.8,21.9,84.0,0.0,1.9,95,10.0,0.0,74.55,흐림/비/이슬비/천둥번개
2025-07-20,27.7,31.3,25.0,14.8,0.0,2.7,83,7.1,5.7,79.63,구름많음/비
2025-07-21,28.5,31.6,25.6,0.0,0.0,2.2,77,5.6,5.8,80.1,구름많음/비/소나기
2025-07-22,28.8,32.2,26.6,0.1,0.0,2.7,76,6.4,6.6,80.43,구름많음/소나기
2025-07-23,28.9,33.3,25.5,0.0,0.0,1.9,70,6.4,7.9,79.73,구름많음
2025-07-24,29.8,34.1,25.8,0.0,0.0,2.0,68,5.1,9.2,80.78,구름조금
2025-07-25,31.1,36.3,25.6,0.0,0.0,1.9,65,1.0,12.4,82.21,맑음
2025-07-26,32.3,37.1,27.6,0.0,0.0,1.8,62,2.9,11.0,83.42,구름조금
2025-07-27,32.8,38.0,28.3,0.0,0.0,2.0,62,0.6,12.5,84.13,맑음
2025-07-28,32.2,36.4,28.8,0.0,0.0,2.0,67,1.6,11.9,84.16,맑음/비
2025-07-29,32.0,36.7,27.6,0.0,0.0,2.1,64,2.9,8.9,83.34,구름조금
2025-07-30,32.1,36.3,28.3,0.0,0.0,1.7,63,7.2,5.6,83.31,구름많음
2025-07-31,30.9,34.6,29.3,0.0,0.0,1.9,62,8.9,1.1,81.43,흐림
2025-08-01,31.0,35.1,27.8,0.0,0.0,1.8,67,8.4,4.5,82.39,구름많음/비
2025-08-02,31.2,36.2,27.3,0.0,0.0,1.8,62,5.4,8.7,81.86,구름조금
2025-08-03,28.8,32.5,24.0,1.3,0.0,2.0,69,9.0,0.2,79.43,흐림/비
2025-08-04,28.1,33.9,23.7,1.9,0.0,2.2,76,7.1,3.9,79.34,구름많음/비
2025-08-05,29.1,33.5,25.4,0.0,0.0,2.2,67,4.4,8.5,79.59,구름조금
2025-08-06,27.1,29.3,25.8,22.0,0.0,3.2,89,9.0,1.1,79.4,흐림/비
2025-08-07,28.2,32.3,25.4,0.0,0.0,2.8,71,4.0,10.2,78.81,구름조금
2025-08-08,26.6,30.2,23.9,6.3,0.0,1.7,75,6.2,1.7,76.87,구름많음/소나기
2025-08-09,24.9,26.4,23.1,3.5,0.0,1.5,82,7.4,0.3,74.96,구름많음/비
2025-08-10,27.3,33.2,21.0,0.0,0.0,1.7,70,1.5,12.3,77.32,맑음
2025-08-11,27.0,29.5,25.0,0.0,0.0,1.9,74,7.2,0.3,77.37,구름많음/소나기
2025-08-12,28.6,34.1,23.3,0.0,0.0,2.2,63,3.8,12.0,78.29,구름조금/안개
2025-08-13,25.1,27.1,22.0,126.7,0.0,2.6,92,9.6,0.0,76.34,흐림/비/천둥번개
2025-08-14,25.5,26.9,24.2,47.8,0.0,2.2,91,9.2,0.0,76.91,흐림/비
2025-08-15,27.1,30.9,24.4,0.0,0.0,1.8,84,4.6,4.9,78.78,구름조금/비/소나기/안개/천둥번개
2025-08-16,28.2,32.2,25.5,0.0,0.0,2.3,76,5.4,6.9,79.49,구름조금
2025-08-17,28.4,32.0,26.1,0.0,0.0,2.2,76,8.1,1.8,79.8,구름많음
2025-08-18,28.9,32.9,27.0,2.2,0.0,3.0,76,8.1,5.4,80.59,구름많음/비
2025-08-19,29.1,32.3,26.9,0.0,0.0,3.2,75,6.1,6.2,80.75,구름많음
2025-08-20,29.4,32.8,26.9,0.0,0.0,2.6,75,7.8,5.2,81.22,구름많음/소나기
2025-08-21,29.8,34.3,27.4,0.0,0.0,2.3,71,5.8,7.5,81.23,구름많음/비
2025-08-22,29.4,33.5,26.1,0.0,0.0,2.1,72,1.9,9.5,80.77,맑음
2025-08-23,29.3,32.2,27.4,0.0,0.0,1.8,75,4.2,3.6,81.06,구름조금
2025-08-24,30.2,34.7,26.9,0.0,0.0,1.7,69,3.2,6.3,81.52,구름조금
2025-08-25,28.7,32.2,26.3,17.1,0.0,2.7,81,7.1,2.0,80.98,구름많음/비/소나기/천둥번개
2025-08-26,27.6,31.8,25.5,5.4,0.0,2.8,82,6.0,5.6,79.34,구름많음/비/이슬비/천둥번개
2025-08-27,26.7,30.8,23.6,0.0,0.0,1.6,74,6.5,2.6,76.91,구름많음/비
2025-08-28,28.3,31.0,24.7,0.0,0.0,2.6,73,8.1,3.0,79.24,구름많음
2025-08-29,29.0,32.8,27.3,32.2,0.0,3.4,82,7.6,4.3,81.61,구름많음/비/소나기/천둥번개
2025-08-30,28.4,31.8,25.8,23.9,0.0,1.9,81,5.2,5.8,80.49,구름조금/비/소나기/천둥번개
2025-08-31,28.5,31.8,25.1,0.0,0.0,2.4,75,5.5,5.9,79.82,구름많음/비
2025-09-01,26.1,28.2,24.4,20.4,0.0,2.5,87,9.0,0.6,77.48,흐림/비/천둥번개
2025-09-02,25.9,30.6,22.0,0.0,0.0,1.5,75,3.0,9.1,75.78,구름조금
2025-09-03,27.6,32.1,22.6,0.0,0.0,2.0,68,5.2,9.5,77.51,구름조금
2025-09-04,25.8,29.8,22.8,44.2,0.0,2.6,82,6.5,3.1,76.42,구름많음/비
2025-09-05,27.9,33.0,23.5,0.0,0.0,2.3,69,4.2,7.9,78.09,구름조금
2025-09-06,26.8,30.4,25.4,36.1,0.0,2.6,87,8.2,1.2,78.65,구름많음/비/천둥번개
2025-09-07,25.3,28.3,22.3,0.2,0.0,2.1,78,7.1,1.7,75.18,구름많음/비
2025-09-08,24.4,29.5,20.6,0.0,0.0,1.9,73,8.0,3.9,73.26,구름많음
2025-09-09,23.7,26.9,21.4,0.0,0.0,1.7,72,7.2,1.0,72.09,구름많음/비
2025-09-10,24.8,31.5,18.4,0.0,0.0,1.8,61,0.0,11.9,72.64,맑음
2025-09-11,25.8,31.7,19.9,0.0,0.0,2.6,58,2.8,11.8,73.72,구름조금
2025-09-12,23.9,26.3,21.1,6.8,0.0,2.8,69,9.5,0.3,72.12,흐림/비
2025-09-13,23.3,27.6,20.4,63.7,0.0,2.0,81,8.9,0.0,72.27,흐림/비
2025-09-14,24.8,29.3,21.5,0.0,0.0,1.6,72,6.0,5.7,73.77,구름많음
2025-09-15,25.7,30.7,20.8,0.0,0.0,1.5,72,4.2,9.4,75.14,구름조금
2025-09-16,23.7,27.1,22.2,17.5,0.0,1.6,87,7.5,0.7,73.47,구름많음/비/안개/천둥번개
2025-09-17,22.7,24.0,21.2,52.7,0.0,1.8,92,8.5,0.4,72.21,흐림/비/안개/천둥번개
2025-09-18,22.1,26.0,19.6,0.0,0.0,2.7,74,6.6,6.1,69.81,구름많음
2025-09-19,19.4,21.4,17.9,13.8,0.0,2.9,82,9.9,0.0,66.04,흐림/비
2025-09-20,20.0,23.6,17.5,35.3,0.0,1.7,85,8.9,1.2,67.18,흐림/비/이슬비
2025-09-21,21.6,27.3,17.2,0.0,0.0,2.1,67,4.1,10.2,68.54,구름조금
2025-09-22,21.3,25.1,17.6,0.0,0.0,2.4,60,8.8,4.3,67.63,흐림
2025-09-23,22.7,26.8,19.2,0.0,0.0,2.5,57,8.1,5.2,69.35,구름많음/비
2025-09-24,22.0,23.7,20.4,35.2,0.0,2.1,82,8.2,0.1,70.25,구름많음/비/이슬비
2025-09-25,22.5,26.4,20.2,0.3,0.0,1.4,80,6.1,5.5,70.9,구름많음/비/안개
2025-09-26,21.7,27.1,17.8,0.0,0.0,1.3,78,3.0,8.1,69.48,구름조금/안개
2025-09-27,22.5,27.2,17.6,0.0,0.0,1.9,71,4.0,8.3,70.19,구름조금
2025-09-28,20.0,21.9,18.4,44.5,0.0,1.5,86,9.1,0.9,67.23,흐림/비
2025-09-29,19.6,23.9,16.6,0.0,0.0,1.6,78,4.0,4.9,66.16,구름조금/안개
2025-09-30,19.8,24.0,17.3,0.0,0.0,1.3,81,6.1,1.2,66.63,구름많음/안개
2025-10-01,20.5,25.6,16.7,0.0,0.0,1.8,78,4.8,4.7,67.58,구름조금/안개
2025-10-02,21.4,25.8,17.3,0.0,0.0,1.5,75,9.0,5.7,68.8,흐림/안개
2025-10-03,21.2,22.3,19.8,0.8,0.0,2.3,76,9.6,0.0,68.55,흐림/비
2025-10-04,22.5,25.0,20.9,0.0,0.0,1.8,75,9.4,0.6,70.51,흐림/비
2025-10-05,21.4,22.3,20.6,18.1,0.0,1.6,90,9.6,0.0,69.83,흐림/비
2025-10-06,17.6,20.7,15.4,36.8,0.0,3.7,94,10.0,0.0,63.49,흐림/비
2025-10-07,18.2,20.0,15.5,7.1,0.0,3.0,95,9.8,0.0,64.57,흐림/비
2025-10-08,21.9,28.0,17.2,0.0,0.0,1.5,73,3.6,10.7,69.43,구름조금/이슬비
2025-10-09,20.0,22.6,16.9,0.0,0.0,3.4,70,9.9,0.0,66.35,흐림/비
2025-10-10,17.0,17.7,16.0,49.3,0.0,2.9,98,10.0,0.0,62.55,흐림/비
2025-10-11,20.2,23.8,17.3,22.5,0.0,2.5,93,9.9,0.1,67.96,흐림/비
2025-10-12,19.0,21.4,17.6,0.1,0.0,2.3,85,9.5,0.2,65.52,흐림/비/안개
2025-10-13,15.7,18.3,13.9,25.1,0.0,3.4,94,10.0,0.0,60.19,흐림/비/이슬비
2025-10-14,17.9,20.9,14.4,0.6,0.0,3.1,80,8.9,0.6,63.54,흐림/비
2025-10-15,20.2,25.3,16.1,1.5,0.0,2.4,75,5.5,6.3,66.94,구름많음/비
2025-10-16,20.2,24.8,17.0,1.3,0.0,2.4,75,3.4,6.8,66.94,구름조금/비
2025-10-17,19.9,24.8,15.6,11.3,0.0,2.2,75,6.0,6.4,66.47,구름많음/비
2025-10-18,15.8,18.6,14.2,11.2,0.0,2.2,88,9.8,0.0,60.28,흐림/비
2025-10-19,14.5,19.2,8.9,0.0,0.0,2.9,72,4.6,5.1,58.08,구름조금
2025-10-20,10.0,16.5,5.3,0.0,0.0,2.5,66,4.8,4.9,51.5,구름조금
2025-10-21,9.2,14.1,4.8,0.0,0.0,1.6,68,5.2,5.8,50.22,구름조금
2025-10-22,13.1,18.6,6.6,0.0,0.0,1.6,72,3.0,6.2,55.95,구름조금
2025-10-23,14.9,19.6,11.8,0.0,0.0,2.0,70,3.8,4.3,58.68,구름조금
2025-10-24,15.8,21.5,11.3,0.0,0.0,2.1,67,5.4,7.3,60.0,구름조금
2025-10-25,14.4,17.7,12.6,0.0,0.0,2.2,67,6.9,3.9,57.93,구름많음
2025-10-26,12.2,13.9,10.6,0.5,0.0,1.7,70,7.4,0.0,54.63,구름많음/비/안개
2025-10-27,8.1,12.2,3.7,0.0,0.0,2.8,45,0.0,9.2,50.03,맑음
2025-10-28,8.5,14.4,3.0,0.0,0.0,1.5,52,0.5,9.0,50.12,맑음
2025-10-29,11.4,18.3,6.2,0.0,0.0,1.7,65,1.1,7.6,53.57,맑음
2025-10-30,12.8,18.2,7.7,0.0,0.0,1.5,70,5.5,6.7,55.53,구름많음/안개
2025-10-31,15.1,20.7,11.3,0.1,0.0,1.9,70,8.1,2.5,58.99,구름많음/비/안개
2025-11-01,12.9,17.7,10.5,2.4,0.0,2.3,73,3.8,8.1,55.63,구름조금/비/안개/천둥번개
2025-11-02,8.0,11.7,3.7,0.2,0.0,3.1,57,1.9,8.1,49.14,맑음/비
2025-11-03,7.2,14.7,0.5,0.0,0.0,1.4,54,0.4,9.6,48.26,맑음
2025-11-04,10.1,16.3,5.5,0.0,0.0,1.4,61,0.9,9.0,51.86,맑음
2025-11-05,11.6,19.0,5.7,0.0,0.0,1.4,60,1.1,9.6,54.01,맑음
2025-11-06,12.5,18.8,7.3,0.0,0.0,1.6,70,3.8,8.1,55.08,구름조금/안개
2025-11-07,13.9,19.9,8.3,0.0,0.0,1.9,66,1.8,8.9,57.2,맑음/안개
2025-11-08,14.5,17.0,12.3,0.0,0.0,2.2,69,8.8,0.0,58.08,흐림/비
2025-11-09,13.5,17.6,10.4,0.0,0.0,2.5,64,1.8,7.6,56.64,맑음/안개
2025-11-10,8.2,12.7,5.4,0.0,0.0,2.5,38,0.4,9.7,50.59,맑음
2025-11-11,8.9,15.1,3.9,0.0,0.0,1.6,58,2.8,8.3,50.33,구름조금
2025-11-12,10.8,17.7,6.0,0.0,0.0,1.7,66,1.1,9.4,52.67,맑음
2025-11-13,11.1,17.6,6.7,0.0,0.0,1.9,65,3.6,5.8,53.14,구름조금/안개
2025-11-14,9.1,15.1,4.5,0.0,0.0,1.9,54,0.0,9.5,50.81,맑음
2025-11-15,9.8,17.5,3.6,0.0,0.0,1.4,49,1.2,8.9,51.98,맑음
2025-11-16,11.6,18.7,5.5,0.3,0.0,2.5,58,3.6,7.9,54.06,구름조금/비
2025-11-17,3.2,9.7,-0.7,0.0,0.0,3.7,37,4.8,6.7,44.77,구름조금
2025-11-18,1.6,6.5,-2.0,0.0,0.0,2.4,47,0.8,9.1,41.62,맑음
2025-11-19,3.0,8.6,-1.6,0.0,0.0,1.6,50,0.0,9.3,43.06,맑음
2025-11-20,7.4,14.6,1.6,0.0,0.0,2.6,59,4.5,5.9,48.18,구름조금
2025-11-21,7.4,12.5,1.0,0.0,0.0,1.9,59,3.1,7.5,48.18,구름조금
2025-11-22,9.6,15.1,5.4,0.0,0.0,1.7,65,3.0,6.3,50.96,구름조금
2025-11-23,10.9,14.4,6.6,0.0,0.0,2.1,70,8.0,0.6,52.67,구름많음/안개
2025-11-24,12.4,16.8,9.6,0.0,0.0,1.8,73,5.0,3.2,54.87,구름조금/안개
2025-11-25,7.4,9.6,5.3,7.8,0.0,2.4,81,8.8,0.2,46.65,흐림/비/안개/천둥번개
2025-11-26,6.4,10.9,3.5,0.0,0.0,1.5,66,3.5,5.4,46.23,구름조금/안개
2025-11-27,5.1,8.7,2.5,10.0,0.0,3.1,77,6.4,0.3,43.31,구름많음/비
2025-11-28,2.2,7.0,-1.3,0.0,0.0,1.9,56,0.2,9.2,41.29,맑음
2025-11-29,5.7,9.3,0.3,0.1,0.0,2.2,57,5.5,2.9,45.98,구름많음/비
2025-11-30,12.4,16.1,9.1,0.0,0.0,1.8,79,3.0,3.9,54.75,구름조금/안개
2025-12-01,5.5,12.2,2.3,0.0,0.0,3.1,51,0.8,9.1,46.24,맑음
2025-12-02,0.1,3.3,-5.4,0.0,0.0,3.5,41,2.1,8.5,40.56,맑음
2025-12-03,-6.0,-2.8,-8.1,0.0,0.0,3.2,41,0.6,8.4,33.14,맑음
2025-12-04,-3.2,3.5,-9.4,4.0,5.1,2.2,50,1.4,8.7,34.97,맑음/눈/비/천둥번개
2025-12-05,-2.6,2.5,-6.9,0.0,0.0,1.9,54,1.8,9.1,35.08,맑음
2025-12-06,2.1,4.5,-2.0,0.6,0.0,2.0,71,8.1,0.9,39.32,구름많음/눈/비
2025-12-07,8.3,13.4,3.4,0.0,0.0,2.2,77,2.1,6.6,48.34,맑음/안개
2025-12-08,3.4,7.3,0.8,0.0,0.0,2.1,45,0.0,9.1,44.13,맑음
2025-12-09,2.8,8.7,-2.4,0.0,0.0,1.6,59,2.5,6.0,41.77,구름조금
2025-12-10,4.9,8.6,0.7,0.0,0.0,1.8,73,6.6,0.9,43.37,구름많음
2025-12-11,4.0,8.4,-1.8,12.9,0.0,2.7,68,4.8,4.0,42.51,구름조금/비/안개/천둥번개
2025-12-12,2.0,7.0,-3.6,0.0,0.0,2.0,56,4.5,6.9,41.02,구름조금
2025-12-13,2.6,4.5,-0.8,9.5,1.0,2.5,82,8.6,0.0,38.79,흐림/눈/비/진눈개비
2025-12-14,-0.1,3.1,-1.5,0.1,0.3,2.0,77,4.2,4.6,35.13,구름조금/눈/비
2025-12-15,0.7,4.5,-3.5,0.0,0.0,1.9,76,4.6,3.7,36.53,구름조금
2025-12-16,3.8,5.0,2.1,2.1,0.0,2.2,89,9.6,0.0,40.0,흐림/비/안개
2025-12-17,4.2,7.6,1.2,0.0,0.0,2.1,73,3.1,7.5,42.3,구름조금/안개
2025-12-18,2.3,8.5,-1.9,0.0,0.0,1.7,61,0.0,8.9,40.83,맑음
2025-12-19,4.9,9.9,-0.7,0.0,0.0,2.0,67,4.2,3.6,43.94,구름조금
2025-12-20,7.3,10.7,1.0,0.3,0.0,2.3,74,7.5,0.0,46.98,구름많음/비/안개
2025-12-21,-1.1,2.5,-3.4,0.0,0.0,2.8,42,2.6,8.9,38.95,구름조금
2025-12-22,-0.7,5.1,-5.9,0.0,0.0,1.8,45,3.9,8.8,38.99,구름조금
2025-12-23,2.6,4.3,0.1,10.8,0.0,2.4,71,9.0,0.0,40.08,흐림/비/안개
2025-12-24,2.8,6.3,-1.0,0.0,0.0,2.4,79,4.1,5.0,39.46,구름조금/안개
2025-12-25,-3.6,0.0,-8.9,0.0,0.0,3.9,54,0.2,8.7,33.74,맑음/안개
2025-12-26,-8.2,-4.0,-11.8,0.0,0.0,2.7,39,0.4,9.0,30.91,맑음
2025-12-27,-2.6,0.5,-8.3,0.0,0.0,2.1,52,7.8,2.0,35.42,구름많음/눈
2025-12-28,3.2,6.1,0.0,0.6,0.0,2.0,76,8.2,0.7,40.43,구름많음/비/안개
2025-12-29,4.9,9.1,-0.1,0.3,0.0,2.2,74,3.1,4.9,43.28,구름조금/비/안개
2025-12-30,-0.6,3.8,-3.7,0.0,0.0,2.4,45,1.9,9.0,39.11,맑음
2025-12-31,-5.7,-1.2,-8.9,0.0,0.0,3.0,41,0.2,9.0,33.51,맑음/눈
